Source,Target,Sentiment
9,91,1.2283333333333335
16,19,1.2268636363636365
83,66,1.1905797632010857
10,22,1.1867861317758845
34,46,1.1557831284419589
34,54,1.151385320255954
3,5,1.1377976190476191
24,55,1.1186722085385878
24,0,1.1180202206846506
9,13,1.0973934638577942
3,7,1.0866135868942606
26,18,1.0633333333333335
56,44,1.0447486103692776
31,23,1.0428336488316752
72,30,0.9832807815622209
33,43,0.9559437907007994
73,101,0.9520518833396662
83,68,0.933959311060588
8,31,0.9227394971207449
91,42,0.9142857142857144
35,70,0.8868519793292812
3,13,0.8799773755656107
71,114,0.8765359325127732
8,37,0.8624133828671328
7,27,0.8581168831168831
1,20,0.8560064935064935
14,19,0.8476190476190475
20,64,0.8389452332657199
84,33,0.8361799812030075
24,105,0.8327027458492976
25,65,0.8271029324519027
67,30,0.826837390448333
7,4,0.8121212121212121
26,69,0.8097285067873303
2,60,0.8031368707437786
85,79,0.7953548836775298
0,21,0.792532127833852
64,45,0.7921584263689527
72,78,0.7798911176542754
33,30,0.776020556441609
9,5,0.7752747252747253
0,25,0.770190727147249
28,21,0.7690106951871658
18,7,0.7685714285714286
5,69,0.7666666666666666
56,22,0.7666406281587442
17,53,0.7588149098698969
52,54,0.7483363198344659
49,87,0.7473566780886043
6,22,0.744888849199133
6,63,0.7430181623931623
48,61,0.7317809056956116
33,38,0.7306639377692008
9,3,0.7269957983193276
29,19,0.7228138528138526
57,63,0.7226772817460316
56,59,0.7179452715743038
46,93,0.71732150754062
24,2,0.7116557450939603
1,27,0.6969487383961068
34,77,0.6957652350285177
65,10,0.6943904320987654
72,38,0.688295521911286
0,57,0.6881081615890084
38,30,0.6820219774039566
7,17,0.6785714285714285
41,95,0.6761292613636365
92,93,0.6553614539529696
21,6,0.652518900305789
18,14,0.6463768115942028
28,36,0.6412555433276269
1,53,0.637142857142857
21,10,0.6363740503323836
55,10,0.6341682824548958
1,42,0.6285714285714286
2,56,0.6283223362658846
78,38,0.6260220501282553
7,29,0.6199999999999999
17,4,0.6157925407925408
26,5,0.612
50,5,0.6105263157894736
28,76,0.6101819923371647
1,7,0.6079545454545454
28,10,0.6009463587487781
16,69,0.6000000000000001
94,90,0.6
100,101,0.5989335396572238
52,46,0.5946863532090805
27,16,0.5931998109417462
13,50,0.5905050505050504
41,75,0.5904492035742036
93,101,0.5896708062987733
2,21,0.5856330940988835
62,44,0.5792351208480973
52,12,0.5782647953897954
26,11,0.5716666666666668
49,37,0.5707137102991058
7,14,0.5642857142857142
2,22,0.5542571095571095
0,39,0.5528126098815754
2,65,0.5514194577352473
8,35,0.5512388936057172
21,57,0.5409502923976607
12,34,0.5383743977975329
29,42,0.5272727272727272
41,0,0.5257886904761906
5,4,0.5192934782608694
31,61,0.5188406837251232
13,7,0.5187499999999998
24,6,0.5046277777777777
41,28,0.5031209680842034
49,97,0.501431623931624
15,90,0.4958333333333333
15,69,0.49393939393939384
